ST_CASE,VEH_NO,PER_NO,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10162,1,1,0,0,0,0,0,0,0,0,0,0
10162,2,1,0,20,0,0,0,0,0,0,0,0
10163,1,1,0,0,0,0,0,0,0,0,0,0
10163,2,1,0,0,0,0,0,0,0,0,0,0
10164,1,1,11,0,40,10,9,0,0,0,5,14
10164,2,1,3,0,10,10,0,19,0,12,0,22
10165,1,1,0,0,12,0,0,0,0,0,0,14
10165,2,1,0,0,0,0,0,0,0,0,0,0
10166,1,1,11,11,11,11,11,11,11,11,11,11
10167,1,1,0,0,0,0,0,0,0,0,0,0
10168,1,1,0,0,0,0,0,0,0,0,0,0
10169,1,1,0,0,0,0,0,0,0,0,0,0
10170,1,1,0,0,0,0,0,0,0,18,0,0
10170,2,1,0,0,0,0,0,0,0,0,0,0
10171,0,1,22,22,22,22,22,22,22,22,22,22
10171,1,1,0,0,0,0,0,0,0,0,0,0
10172,1,1,14,14,14,14,14,14,14,14,14,14
10173,1,1,0,0,0,0,0,0,0,0,0,0
10174,1,1,0,8,0,0,0,0,0,0,0,0
10174,2,1,0,0,0,0,0,0,0,0,0,0
10175,1,1,0,0,0,0,0,0,0,0,0,0
10176,1,1,0,0,0,0,0,0,0,0,0,0
10176,2,1,0,0,0,0,0,9,0,0,0,0
10177,1,1,0,0,0,0,0,0,0,0,0,0
10177,2,1,0,0,0,0,0,0,0,0,0,0
10178,1,1,0,0,0,0,0,0,0,0,0,0
10178,2,1,0,0,0,0,0,0,0,0,0,0
10179,1,1,0,0,0,0,0,0,0,0,0,0
10180,0,1,0,0,0,0,0,0,0,0,0,0
10180,1,1,0,0,0,0,0,0,0,0,0,0
10181,1,1,0,0,0,0,0,0,0,0,0,0
10181,2,1,0,0,0,0,0,0,0,0,0,0
10181,3,1,0,0,0,0,0,0,0,0,0,0
10182,1,1,0,0,0,0,0,0,6,0,13,0
10182,2,1,0,0,0,0,0,0,0,0,0,0
10183,1,1,24,18,28,17,0,4,9,0,0,0
10184,1,1,12,12,12,12,12,12,12,12,12,12
10185,0,1,0,0,4,0,0,0,11,0,0,12
10185,1,1,7,7,7,7,7,7,7,7,7,7
10186,1,1,0,0,0,0,0,0,0,0,11,0
10186,2,1,0,0,0,0,0,0,0,0,0,0
10187,1,1,0,0,0,0,0,0,0,16,5,0
10187,2,1,0,0,0,0,0,0,0,0,0,0
10188,1,1,0,26,21,14,0,0,0,0,23,0
10188,2,1,0,0,0,0,0,0,0,0,0,0
10189,0,1,2,2,2,2,2,2,2,2,2,2
10189,2,1,0,0,0,0,0,0,0,0,0,0
10189,3,1,0,0,0,0,0,0,0,0,0,0
10189,4,1,0,0,0,0,0,0,0,0,0,0
10190,1,1,0,0,0,0,0,0,0,0,0,0
10190,2,1,0,0,0,0,0,0,0,0,0,0
10191,1,1,9,0,3,0,0,10,0,0,0,0
